Sa04_184_BF11_BR22,Sa04_184_BF11_BR20,Sa04_214_BR24_BF13,Sa05_5_BF11_BR11,Sa05_35_BR13_BF13,Sa05_65_BF2B_BR2B,Sa05_95_BR22_BF21,Sa05_125_BF2B_BR10,Sa05_155_BR13_BF21,Order,Family,Genus,Species
226,0,0,0,0,0,0,0,0,Ephemeroptera,Ephemeridae,Ephemera vulgata,Ephemera vulgata
227,0,0,0,0,0,0,0,0,Ephemeroptera,Ephemeridae,Ephemera vulgata,Ephemera vulgata
228,4,0,0,0,31,0,0,2,Ephemeroptera,Ephemerellidae,Ephemerella mucronata,Ephemerella mucronata
229,0,0,0,0,0,0,0,172,Amphipoda,Gammaridae,Gammarus pulex,Gammarus pulex
230,0,0,0,0,0,0,0,0,Hemiptera,Gerridae,Gerris lacustris,Gerris lacustris
231,0,0,0,0,0,0,0,0,Hemiptera,Gerridae,Gerris lacustris,Gerris lacustris
232,0,0,0,0,0,0,0,2,Trichoptera,Glossosomatidae,Glossosoma intermedium,Glossosoma intermedium
233,0,0,1,0,0,0,0,0,Odonata,Gomphidae,Gomphus vulgatissimus,Gomphus vulgatissimus
234,0,0,0,0,0,0,0,0,NA,NA,NA,Onychogomphus forcipatus
235,0,0,0,0,0,0,0,0,Basommatophora,Planorbidae,Gyraulus sp.,Gyraulus sp. 17106
236,0,0,50,0,0,8,76,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
237,0,0,7,0,0,0,47,1,NA,NA,NA,Orectochilus villosus
238,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
239,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
240,0,0,0,0,0,0,0,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
241,0,0,1,0,0,0,3,0,NA,NA,NA,Orectochilus villosus
242,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
243,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
244,0,0,5,0,0,0,5,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
245,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
246,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
247,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
248,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
249,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
250,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
251,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
252,0,0,0,0,0,1,0,0,NA,NA,NA,Orectochilus villosus
253,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
254,0,0,0,0,0,1,1,0,NA,NA,NA,Orectochilus villosus
255,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
256,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
257,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
258,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
259,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
260,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
261,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
262,0,0,0,0,0,1,0,0,NA,NA,NA,Orectochilus villosus
263,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
264,0,0,2,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
265,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
266,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
267,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
268,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
269,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
270,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
271,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
272,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
273,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
274,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
275,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
276,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
277,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
278,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
279,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
280,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
281,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
282,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
283,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
284,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
285,0,0,0,0,0,0,0,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
286,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
287,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
288,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
289,0,0,0,0,0,0,1,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
290,0,0,0,0,0,0,1,0,NA,NA,NA,Orectochilus villosus
291,0,0,0,0,0,0,0,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
292,0,0,1,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
293,0,0,0,0,0,0,0,0,NA,NA,NA,Orectochilus villosus
294,0,0,2,0,0,0,5,0,Coleoptera,Gyrinidae,Orectochilus villosus,Orectochilus villosus
295,0,0,0,0,36,0,0,0,Rhynchobdellida,Glossiphoniidae,Helobdella stagnalis,Helobdella stagnalis
296,0,0,0,0,0,0,0,0,Rhynchobdellida,Glossiphoniidae,Helobdella stagnalis,Helobdella stagnalis
297,1,0,12157,14231,5526,6902,12062,10776,Diptera,Empididae,Hemerodromia adulatoria,Tachydromia annulimana
298,17,6,0,0,308,0,0,44,Ephemeroptera,Heptageniidae,Heptagenia pulla,Heptagenia dalecarlica
299,0,0,0,0,0,0,0,0,Ephemeroptera,Heptageniidae,Heptagenia pulla,Heptagenia pulla
300,2,1,0,0,13,0,0,18,Ephemeroptera,Heptageniidae,Heptagenia pulla,Heptagenia pulla
301,0,0,0,0,0,0,0,0,Ephemeroptera,Heptageniidae,Heptagenia pulla,Heptagenia pulla
302,0,0,0,0,0,0,0,0,Ephemeroptera,Heptageniidae,Heptagenia pulla,Heptagenia pulla
303,118,6,9006,7659,1684,1175,782,1038,Ephemeroptera,Heptageniidae,Heptagenia sulphurea,Heptagenia sulphurea
304,0,0,0,0,0,0,0,0,Ephemeroptera,Heptageniidae,Heptagenia sulphurea,Heptagenia sulphurea
305,0,0,0,0,4,0,0,0,Coleoptera,Hydraenidae,Hydraena riparia,Hydraena assimilis
306,45,43,0,0,2,0,0,0,Coleoptera,Hydraenidae,Hydraena riparia,Hydraena assimilis
307,0,0,0,0,0,0,0,0,Coleoptera,Hydraenidae,Hydraena gracilis,Hydraena gracilis
308,0,0,0,0,0,0,0,0,Coleoptera,Hydraenidae,Hydraena riparia,Hydraena britteni
309,883795,737035,43,0,0,1398,33,0,Trichoptera,Hydropsychidae,Hydropsyche angustipennis,Hydropsyche angustipennis
310,3935,2967,0,0,0,4,0,0,Trichoptera,Hydropsychidae,Hydropsyche angustipennis,Hydropsyche angustipennis
311,12,0,0,0,0,0,0,0,Trichoptera,Hydropsychidae,Hydropsyche contubernalis,Hydropsyche contubernalis
312,123,25,295717,205577,513338,446754,640859,394022,Trichoptera,Hydropsychidae,Hydropsyche pellucidula,Hydropsyche pellucidula
313,0,0,25763,32090,13387,8520,16432,8849,Trichoptera,Hydropsychidae,Hydropsyche pellucidula,Hydropsyche pellucidula
314,0,0,1,0,1,1,0,0,Trichoptera,Hydropsychidae,Hydropsyche pellucidula,Hydropsyche pellucidula
315,0,0,1138,765,1986,1146,2105,1488,Trichoptera,Hydropsychidae,Hydropsyche pellucidula,Hydropsyche pellucidula
316,0,12,0,0,0,0,0,6,Trichoptera,Hydropsychidae,Hydropsyche saxonica,Hydropsyche saxonica
317,73,0,649932,390214,110888,163356,139158,81326,Trichoptera,Hydropsychidae,Hydropsyche siltalai,Hydropsyche siltalai
318,0,0,806,307,114,52,48,113,Trichoptera,Hydropsychidae,Hydropsyche siltalai,Hydropsyche siltalai
319,4,0,0,0,0,12,0,26,Trichoptera,Hydropsychidae,Hydropsyche newae,Ceratopsyche newae
320,0,0,0,0,0,0,0,0,Trichoptera,Hydropsychidae,Hydropsyche bulgaromanorum,Hydropsyche bulgaromanorum
321,0,0,0,0,0,0,0,0,Trichoptera,Hydropsychidae,Hydropsyche newae,Ceratopsyche newae
322,0,0,1,0,1,0,0,0,Trichoptera,Hydroptilidae,Hydroptila sparsa,Hydroptila sparsa
323,0,0,0,0,0,0,0,0,Trichoptera,Hydroptilidae,Hydroptila tineoides,Hydroptila tineoides
324,4,11,0,0,96,1,6,242,Plecoptera,Perlodidae,Isoperla difformis,Isoperla sp. AMI 1
325,0,0,0,0,0,0,0,5,Plecoptera,Perlodidae,Isoperla difformis,Isoperla sp. AMI 1
326,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Isoperla difformis,Isoperla sp. BOLD:AAA6568
327,22,0,0,0,169,2,1,8,Plecoptera,Perlodidae,Isoperla obscura,Isoperla obscura
328,0,1,0,0,19,0,1,39,Plecoptera,Perlodidae,Isoperla grammatica,Isoperla grammatica
329,0,0,0,0,0,0,0,0,NA,NA,NA,Isoperla grammatica
330,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Isoperla grammatica,Isoperla grammatica
331,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Isoperla obscura,Isoperla obscura
332,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Isoperla obscura,Isoperla obscura
333,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Isoperla grammatica,Isoperla grammatica
334,0,0,0,0,12,0,0,0,Plecoptera,Perlodidae,Isoperla obscura,Isoperla obscura
335,0,0,0,0,2,0,0,0,Plecoptera,Perlodidae,Isoperla obscura,Isoperla obscura
336,0,0,0,0,0,0,0,0,Plecoptera,Perlodidae,Isoperla obscura,Isoperla obscura
337,0,0,0,0,1,0,0,2,Plecoptera,Perlodidae,Isoperla grammatica,Isoperla grammatica
338,0,0,6,0,3,0,1,0,Trichoptera,Hydroptilidae,Ithytrichia lamellaris,Ithytrichia lamellaris
339,83753,185958,251,0,43,48,0,0,Ephemeroptera,Heptageniidae,Kageronia fuscogrisea,Kageronia fuscogrisea
340,61,65,0,0,0,0,0,0,Ephemeroptera,Heptageniidae,Kageronia fuscogrisea,Kageronia fuscogrisea
341,1,0,321,3260,736,786,175,1402,Trichoptera,Lepidostomatidae,Lepidostoma hirtum,Lepidostoma hirtum
342,12,0,0,0,0,5,0,0,Trichoptera,Lepidostomatidae,Lepidostoma hirtum,Lepidostoma hirtum
343,3,0,120,1090,29,24,3,35,NA,NA,NA,Lepidostoma hirtum
344,4641,6875,5,0,52,195,7,30,Ephemeroptera,Leptophlebiidae,Leptophlebia marginata,Leptophlebia marginata
345,1,0,0,0,26,0,1,0,Ephemeroptera,Leptophlebiidae,Leptophlebia vespertina,Leptophlebia vespertina
346,0,0,0,0,4,0,0,0,Ephemeroptera,Leptophlebiidae,Leptophlebia vespertina,Leptophlebia vespertina
347,1,2,0,0,0,0,0,0,Ephemeroptera,Leptophlebiidae,Leptophlebia marginata,Leptophlebia marginata
348,0,0,0,0,0,0,0,0,Ephemeroptera,Leptophlebiidae,Leptophlebia marginata,Leptophlebia marginata
349,0,0,0,0,63,0,0,5,Plecoptera,Leuctridae,Leuctra hippopus,Leuctra hippopus
350,0,0,0,0,0,0,0,0,Plecoptera,Leuctridae,Leuctra hippopus,Leuctra hippopus
351,0,0,0,0,17,0,0,0,Plecoptera,Leuctridae,Leuctra hippopus,Leuctra hippopus
352,168,0,2,0,0,0,0,0,Trichoptera,Limnephilidae,Glyphotaelius pellucidus,Glyphotaelius pellucidus
353,0,1,0,0,0,0,0,17,Trichoptera,Limnephilidae,Potamophylax latipennis,Potamophylax latipennis
354,0,0,0,0,0,0,1,0,Trichoptera,Limnephilidae,Potamophylax rotundipennis,Potamophylax rotundipennis
355,0,0,0,0,0,0,0,0,Trichoptera,Limnephilidae,Halesus radiatus,Halesus radiatus
356,0,0,0,0,0,0,0,0,NA,NA,NA,Potamophylax latipennis
357,0,0,0,0,0,0,0,1,Trichoptera,Limnephilidae,Potamophylax latipennis,Potamophylax latipennis
358,0,0,0,0,0,0,0,0,Trichoptera,Limnephilidae,Halesus radiatus,Halesus radiatus
359,0,0,0,0,0,0,0,0,Trichoptera,Limnephilidae,Potamophylax latipennis,Potamophylax latipennis
360,4,0,0,0,0,0,0,0,Trichoptera,Limnephilidae,Glyphotaelius pellucidus,Glyphotaelius pellucidus
361,1,0,0,0,0,0,0,0,Trichoptera,Limnephilidae,Glyphotaelius pellucidus,Glyphotaelius pellucidus
362,0,0,0,0,0,0,0,0,Trichoptera,Limnephilidae,Glyphotaelius pellucidus,Glyphotaelius pellucidus
363,96,1,286126,377382,5799,9552,40572,52522,Coleoptera,Elmidae,Limnius volckmari,Limnius volckmari
364,0,0,458,614,74,202,363,608,Coleoptera,Elmidae,Limnius volckmari,Limnius volckmari
365,4772,3904,209,0,0,15,1,0,Diptera,Muscidae,Limnophora olympiae,Limnophora olympiae
366,8,9,0,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
367,17,21,47,0,0,0,0,0,NA,NA,NA,Limnophora olympiae
368,3,0,0,0,0,0,0,0,NA,NA,NA,Lype phaeopa
369,0,1,0,0,1,0,0,0,Trichoptera,Brachycentridae,Micrasema primoricum,Micrasema primoricum
370,0,0,0,0,6,0,0,13,Trichoptera,Brachycentridae,Micrasema setiferum,Micrasema setiferum
371,4346,4229,0,0,0,108,0,0,Trichoptera,Leptoceridae,Mystacides niger,Mystacides azureus
372,0,0,0,0,0,0,0,0,NA,NA,NA,Steinernema glaseri
373,64,27,11,0,58,0,0,0,Plecoptera,Nemouridae,Nemoura avicularis,Nemoura avicularis
374,0,3,0,0,0,0,1,133,Plecoptera,Nemouridae,Nemoura flexuosa,Nemoura flexuosa
375,188,202,0,0,0,0,0,0,Plecoptera,Nemouridae,Nemoura cinerea,Nemoura cinerea
376,2,0,0,0,0,0,0,0,Trichoptera,Polycentropodidae,Neureclipsis bimaculata,Neureclipsis bimaculata
377,0,0,0,0,26,0,0,0,Trichoptera,Leptoceridae,Oecetis testacea,Oecetis testacea
378,7138,14509,2,0,53,39,1,1,Lumbriculida,Lumbriculidae,Lumbriculus variegatus,Lumbriculus variegatus
379,0,0,118,0,0,1,1,0,Haplotaxida,Lumbricidae,Eiseniella tetraedra,Eiseniella tetraedra
380,6,0,3,0,0,3,138,0,Haplotaxida,Naididae,Psammoryctides barbatus,Psammoryctides barbatus
381,2,0,1,0,2,0,0,0,Haplotaxida,Enchytraeidae,Cognettia glandulosa B SM2014,Chamaedrilus glandulosus
382,0,0,1,0,79,0,0,1,NA,NA,NA,Rhyacodrilus coccineus
383,1,0,10,0,92,0,0,0,Haplotaxida,Naididae,Spirosperma apapillatus,Spirosperma apapillatus
384,0,0,21,0,0,0,2,0,Haplotaxida,Naididae,Ophidonais serpentina,Ophidonais serpentina
385,0,0,0,0,15,0,0,0,Lumbriculida,Lumbriculidae,Lumbriculus variegatus,Lumbriculus variegatus
386,1,0,0,0,0,0,165,0,NA,NA,NA,Chaetogaster limnaei
387,0,0,1,0,0,2,0,0,NA,NA,NA,Tubificinae sp. 1 RV-2016
388,0,0,2,0,0,0,241,0,NA,NA,NA,Spirosperma apapillatus
389,0,0,0,0,0,0,0,0,Haplotaxida,Enchytraeidae,Fridericia perrieri,Fridericia perrieri
390,0,1,0,0,145,1,0,0,Haplotaxida,Enchytraeidae,Cognettia sphagnetorum B SM2014,Chamaedrilus chalupskyi
391,0,0,5,0,0,1,4,0,Lumbriculida,Lumbriculidae,Stylodrilus heringianus,Stylodrilus heringianus
392,0,0,18,0,0,0,1,0,NA,NA,NA,Limnodrilus hoffmeisteri
393,0,0,16,201,1,8,60,40,Lumbriculida,Lumbriculidae,Rhynchelmis tetratheca,Rhynchelmis tetratheca
394,0,0,0,0,0,0,0,0,NA,NA,NA,Tubificinae sp. T1_174
395,0,0,0,0,36,0,0,0,Haplotaxida,Lumbricidae,Eiseniella tetraedra,Eiseniella tetraedra
396,466,369,0,0,0,0,0,0,Haplotaxida,Naididae,NA,Rhyacodrilus coccineus
397,1159,1002,0,0,0,11,0,2,Lumbriculida,Lumbriculidae,Stylodrilus heringianus,Stylodrilus heringianus
398,0,0,0,0,0,0,4,0,Haplotaxida,Naididae,Tubifex tubifex,Tubifex tubifex
399,0,0,0,0,0,0,0,0,Haplotaxida,Naididae,Ripistes parasita,Ripistes parasita
400,0,0,76,72,19,8,0,0,Haplotaxida,Naididae,Nais alpina,Nais alpina
401,0,0,0,0,0,0,0,0,Haplotaxida,Naididae,Aulodrilus pluriseta,Aulodrilus pluriseta
402,0,0,0,0,0,0,0,0,Haplotaxida,Enchytraeidae,Cognettia sp.,Chamaedrilus chalupskyi
403,0,0,0,0,0,0,0,0,Haplotaxida,Naididae,Slavina appendiculata,Slavina appendiculata
404,0,0,0,0,0,0,0,0,NA,NA,NA,Propappus volki
405,0,0,0,0,0,0,0,0,NA,NA,NA,Lumbriculus sp. BOLD:AAG5080
406,0,0,0,0,0,0,0,0,Haplotaxida,Naididae,Nais,Nais communis/variabilis complex sp. A2
407,0,0,0,0,0,0,0,0,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus sp. BOLD:AAG5080
408,0,0,0,0,0,0,0,0,NA,NA,NA,Tubificinae sp. 1 RV-2016
409,0,0,0,0,0,0,0,0,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus sp. BOLD:AAG5080
410,0,0,0,0,0,0,0,0,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus sp. BOLD:AAG5080
411,0,0,0,0,1,0,0,0,Haplotaxida,Naididae,Stylaria lacustris,Stylaria lacustris
412,0,0,0,0,72,0,0,0,NA,NA,NA,Chaetogaster diastrophus
413,0,0,0,0,0,0,0,0,NA,NA,NA,Chaetogaster limnaei
414,0,0,0,0,0,0,0,0,Haplotaxida,Naididae,Chaetogaster diaphanus,Chaetogaster diaphanus
415,0,0,0,0,0,0,0,0,NA,NA,NA,Chaetogaster limnaei
416,0,0,0,0,0,0,0,0,NA,NA,NA,Chamaedrilus glandulosus
417,0,0,0,0,0,0,0,0,NA,NA,NA,Lumbriculus variegatus
418,0,0,0,0,1,0,0,0,Haplotaxida,Naididae,Piguetiella blanci,Piguetiella blanci
419,0,0,0,0,0,0,0,0,NA,NA,NA,Chamaedrilus varisetosus
420,0,0,0,0,0,0,0,0,Haplotaxida,Naididae,Nais variabilis,Nais variabilis
421,0,0,0,0,0,0,0,0,Haplotaxida,Enchytraeidae,Chamaedrilus glandulosus,Chamaedrilus aff. glandulosus B SM-2014
422,0,0,0,0,0,0,0,0,Lumbriculida,Lumbriculidae,Lumbriculus,Lumbriculus sp. BOLD:AAG5080
423,2,1,0,0,0,2,0,0,Haplotaxida,Naididae,Psammoryctides barbatus,Psammoryctides barbatus
424,0,0,0,0,0,0,0,0,Lumbriculida,Lumbriculidae,Lumbriculus variegatus,Lumbriculus variegatus
425,0,0,0,0,0,0,0,0,NA,NA,NA,Propappus volki
426,0,0,152,0,0,0,1,0,Odonata,Gomphidae,Onychogomphus forcipatus,Onychogomphus forcipatus
427,51130,73580,24930,17203,13429,9185,18155,8736,Coleoptera,Elmidae,Oulimnius tuberculatus,Oulimnius tuberculatus
428,0,0,0,0,3,0,0,0,Veneroida,Sphaeriidae,Pisidium supinum,Pisidium supinum
429,317,376,0,0,0,0,0,0,Veneroida,Sphaeriidae,Pisidium subtruncatum,Pisidium subtruncatum
430,0,0,0,0,0,1,0,0,Veneroida,Sphaeriidae,Pisidium sp. I CC2014,Pisidium casertanum
431,0,0,0,0,0,0,0,0,Coleoptera,Dytiscidae,Platambus maculatus,Platambus maculatus
432,120,74,30,0,1,0,1,0,Trichoptera,Polycentropodidae,Polycentropus flavomaculatus,Polycentropus flavomaculatus
433,124,67,26,0,0,0,0,0,Trichoptera,Polycentropodidae,Polycentropus flavomaculatus,Polycentropus flavomaculatus
434,34,54,1,0,2,0,0,0,Trichoptera,Polycentropodidae,Polycentropus irroratus,Polycentropus irroratus
435,0,6,3,0,1874,1,0,247,Plecoptera,Nemouridae,Protonemura meyeri,Protonemura meyeri
436,0,0,0,0,0,0,0,1,Plecoptera,Nemouridae,Protonemura meyeri,Protonemura meyeri
437,0,0,0,0,0,0,0,0,NA,NA,NA,Protonemura meyeri
438,1125,1720,0,0,0,6,0,0,Diptera,Psychodidae,Pneumia trivialis,Pericoma blandula
439,0,0,0,0,0,0,0,0,Diptera,Psychodidae,Pericoma blandula,Pericoma blandula
440,2,0,57122,122265,5662,8878,58814,109764,Trichoptera,Psychomyiidae,Psychomyia pusilla,Psychomyia pusilla
441,736,0,21,0,0,0,0,0,Hygrophila,Lymnaeidae,Radix balthica,Radix balthica
442,31,1,17,12,195,10,207,228,Trichoptera,Rhyacophilidae,Rhyacophila nubila,Rhyacophila sp. BIOUG16428-F05
443,0,0,0,0,109,0,2,0,Ephemeroptera,Ephemerellidae,Serratella ignita,Serratella cf. ignita SE-36-FR(MV)
444,0,0,0,0,0,0,0,0,Ephemeroptera,Ephemerellidae,Serratella ignita,Serratella ignita
445,0,0,5,0,0,0,0,0,Megaloptera,Sialidae,Sialis lutaria,Sialis lutaria
446,120,0,0,0,65,0,0,0,Diptera,Simuliidae,Simulium aureum,Simulium aureum
447,8,1,50988,48642,3560,4831,6724,9136,Diptera,Simuliidae,Simulium ornatum,Simulium intermedium
448,0,0,124075,320482,52045,107232,178758,296254,Diptera,Simuliidae,Simulium equinum,Simulium duolongum
449,6,21,242,148,337,537,886,524,Diptera,Simuliidae,Simulium intermedium,Simulium intermedium
450,0,0,0,0,0,0,0,2,Diptera,Simuliidae,Simulium reptans,Simulium reptans
451,0,0,0,0,0,0,0,0,Diptera,Simuliidae,Simulium verecundum complex,Simulium verecundum complex sp. BOLD-2016
452,2,0,0,0,0,1,0,0,Diptera,Simuliidae,Simulium noelleri,Simulium noelleri
453,4,0,4,0,0,4,0,0,Diptera,Simuliidae,Simulium morsitans,Simulium morsitans
454,1,0,0,0,0,0,0,0,Diptera,Simuliidae,Simulium tuberosum,Simulium tuberosum
455,0,0,1,0,0,0,1,0,Diptera,Simuliidae,Simulium lundstromi,Simulium lundstromi
456,0,0,3,0,13,0,0,0,Diptera,Simuliidae,Simulium angustipes,Simulium angustipes
457,0,0,1256,5112,610,1061,1550,4909,Diptera,Simuliidae,Simulium equinum,Simulium siamense
458,0,0,0,0,23,0,0,0,Diptera,Simuliidae,Simulium velutinum,Simulium velutinum
459,0,0,0,0,0,0,9,0,Diptera,Simuliidae,Simulium erythrocephalum,Simulium tuberosum
460,0,0,0,0,0,0,1,0,Diptera,Simuliidae,Simulium intermedium,Simulium ornatum
461,0,0,0,0,0,0,0,0,Diptera,Simuliidae,Simulium vernum,Simulium vernum
462,0,0,0,0,0,0,0,0,NA,NA,NA,Simulium reptans
463,0,0,31,7,12,9,26,11,Diptera,Simuliidae,Simulium ornatum,Simulium intermedium
464,0,0,1,0,0,0,0,0,Diptera,Simuliidae,Simulium lundstromi,Simulium lundstromi
